sample,fastq_1,fastq_2,strandedness
CUDI57,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L01-CUDI57/JZ26058704-R-PL260320-CN002696-S01-R01-L01-CUDI57_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L01-CUDI57/JZ26058704-R-PL260320-CN002696-S01-R01-L01-CUDI57_combined_R2.fastq.gz,unstranded
CUDI58,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L01-CUDI58/JZ26058704-R-PL260320-CN002696-S01-R02-L01-CUDI58_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L01-CUDI58/JZ26058704-R-PL260320-CN002696-S01-R02-L01-CUDI58_combined_R2.fastq.gz,unstranded
CUDI59,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L01-CUDI59/JZ26058704-R-PL260320-CN002697-S01-R01-L01-CUDI59_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L01-CUDI59/JZ26058704-R-PL260320-CN002697-S01-R01-L01-CUDI59_combined_R2.fastq.gz,unstranded
CUDI60,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L02-CUDI60/JZ26058704-R-PL260320-CN002696-S01-R01-L02-CUDI60_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L02-CUDI60/JZ26058704-R-PL260320-CN002696-S01-R01-L02-CUDI60_combined_R2.fastq.gz,auto
CUDI61,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L02-CUDI61/JZ26058704-R-PL260320-CN002696-S01-R02-L02-CUDI61_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L02-CUDI61/JZ26058704-R-PL260320-CN002696-S01-R02-L02-CUDI61_combined_R2.fastq.gz,auto
CUDI62,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62/JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62/JZ26058704-R-PL260320-CN002697-S01-R01-L02-CUDI62_combined_R2.fastq.gz,auto
CUDI63,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63/JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63/JZ26058704-R-PL260320-CN002696-S01-R01-L03-CUDI63_combined_R2.fastq.gz,unstranded
CUDI64,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64/JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64/JZ26058704-R-PL260320-CN002696-S01-R02-L03-CUDI64_combined_R2.fastq.gz,unstranded
CUDI49,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49/JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49/JZ26058704-R-PL260320-CN002697-S01-R01-L03-CUDI49_combined_R2.fastq.gz,unstranded
CUDI50,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50/JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50/JZ26058704-R-PL260320-CN002696-S01-R01-L04-CUDI50_combined_R2.fastq.gz,auto
CUDI51,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51/JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51/JZ26058704-R-PL260320-CN002696-S01-R02-L04-CUDI51_combined_R2.fastq.gz,auto
CUDI52,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52/JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52_combined_R1.fastq.gz,/mnt/gpfs/Dataset/03.standard_seqdata/RawData/GeneMind/R-PL260320/Sample_JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52/JZ26058704-R-PL260320-CN002697-S01-R01-L04-CUDI52_combined_R2.fastq.gz,auto
